NUM_IDENTIFICADOR | NOME
809 | A. Zanin
810 | L.A. Pereira
811 | F.R. Salimena-Pires
812 | E.G.A. Martins
813 | L.M. Miguel & Sobrado
814 | L. Rossi
815 | R.L.S. Coelho
816 | M. Sugiyama
817 | J.F.B. Pastore
818 | P.M. Silva
819 | C.A. Staze
820 | J.B. Cavalcanti
821 | L.A.F. de Carvalho
822 | D. Roher & G. Felitto
823 | M.A. Pena
824 | A.C.S.S. Marques & M.L. Guedes
825 | J. Falcão
826 | M. Mathias
827 | D.C. Wasshausen
828 | W.S. Souza
829 | A. de Mattos
830 | D.S. Verity
831 | L. Aona
832 | F.S. Petrongari
833 | A.P.N. Pereira
834 | W.M. Kranz
835 | D.M. do Carmo
836 | L.M. Santos & G. Felitto
837 | F.P. Azevedo
838 | Múlgura
839 | L.Y. Forero-Peñula
840 | G. Starnecker
841 | L. Ariza Espinar
842 | R.A. Pacheco
843 | E.D. Silva
844 | E.C.O. Chagas
845 | J. Fontanella Pereira
846 | A. Ribeiro & C. Kozera
847 | L. Noblick
848 | N.E.S. Marquete
849 | C.S. Rosario
850 | C.S. Rosario & J. Batista
851 | D. Lucas
852 | L.C. Marinho
853 | A. Frazão
854 | C. Ezcurra
855 | M.A. Kieling-Rubio
856 | T.E.C. Meneguzzo
857 | M.C.H. Mamede
858 | F. de Araújo
859 | G.A. Dettke & M.G. Caxambu
860 | R.H.P. Andreata
861 | C.N. Fraga
862 | C. Baez
863 | M. Machnicki-Reis & E.C. Smidt
864 | F.F. Pastório
865 | W.S. Mancinelli, M.E.Engels & E.C. Smidt
866 | W.S. Mancinelli
867 | K. Kawakita
868 | J.F.M. Valls
869 | T.M. Burda; T.A. Maciel; B.R. Martins
870 | F.B. Matos & E.P. Santos
871 | T.A. Maciel
872 | T.M. Burda
873 | P. Cabral
874 | B.R. Martins
875 | T.A. Maciel & B.R. Martins
876 | A.L. Cardozo
877 | A.D. Faria
878 | C.V. Ely
879 | J. Gaio
880 | S.F. Silveira
881 | L.R.M. Baptista
882 | S.T.S. Miotto
883 | V.A. Thode
884 | G.P. Coelho
885 | L.D. Bonatto
886 | W.H.M. Longhi
887 | M.L. Abruzzi
888 | M.D. Ferrarese
889 | C. Demeda
890 | P.X. Acevedo
891 | G.H. Silveira
892 | G.S. Mckee
893 | C.E. Siqueira
894 | F. de Barros
895 | R. Riina
896 | E.J. Lírio
897 | R.S. Rodrigues
898 | A.L.C. Moreira
899 | R.L. Borgis
900 | A. Santana
901 | T.G. Rau
902 | V.G. Fernandes
903 | A.L. Christ
904 | D.F. Silva
905 | J. Schaefer
906 | A.C.D. Castelo
907 | G.D.S. Seger
908 | A.R. Simões
909 | F.B. Matos & G.A. Dettke
910 | J.C. Jaszczerski
911 | L. Beltrami
912 | I. Cristo
913 | P. Luciano
914 | A.C. Brade
915 | K. Souza
916 | D. Vidolin
917 | T.F. Santos; L. Gusso
918 | A.O. Valle
919 | C. Vodonis
920 | A.K. Japp
921 | H.A. Lima
922 | J.C. Jaszczerski; A.K. Japp
923 | I. Cristo; C. Vodonis
924 | G.C. Wunderlich
925 | L. Marques
926 | D. Bonfante & F.G. Machado
927 | L. Romaniuk
928 | M. Selusniaki & L. Beltrami
929 | M. Ferreira
930 | A.O. Valle & G.C. Wunderlich
931 | M.T. Shirata
932 | J.C. Jaszczerski & F.B. Potrich
933 | S.K. Sasaoka
934 | V. Stadler
935 | R.L. Nogarolli
936 | M. Nakagawa
937 | C. Michelon & R. Kersten
938 | L. Plombon
939 | R.L. Basso
940 | T.S. Matozo
941 | J.C. Jaszczerski & C. Vodonis
942 | P.O. Rosa
943 | J. Cordeiro & M. Bolson
944 | G. Barbosa
945 | J.H. Kirkride
946 | M.V. Silva
947 | P. Acevedo
948 | J.R. Stehmann & L. Mentz
949 | A.C.P. Scheidt
950 | A.L.A. Cortes
951 | M.P. Petean
952 | V.C. Gomes-Klein
953 | R.P. Oliveira
954 | M.P. Marim
955 | Z. Louzada
956 | G.O. Silva
957 | J.C. Jaramillo
958 | C.T. Blum & M.A.G. Bensberg
959 | J.A.M. Carmo
960 | L. Versieux
961 | L.S.B. Jordão
962 | P.L.R. de Moraes
963 | R. Alves
964 | R.T. Queiroz
