NUM_TOMBO | SEQUENCIA | FOTO | DESCRICAO | COD_BARRA | NUM_BARRA
5935.0 | 1 | None | None | HCF000000304 | 304.0
6920.0 | 1 | None | None | HCF000000305 | 305.0
7886.0 | 1 | None | None | HCF000000306 | 306.0
7923.0 | 1 | None | None | HCF000000307 | 307.0
9408.0 | 1 | None | None | HCF000000308 | 308.0
16209.0 | 1 | None | None | HCF000000309 | 309.0
17220.0 | 1 | None | None | HCF000000310 | 310.0
310.0 | 1 | None | None | HCF000000311 | 311.0
1099.0 | 1 | None | None | HCF000000312 | 312.0
1310.0 | 1 | None | None | HCF000000313 | 313.0
2756.0 | 1 | None | None | HCF000000314 | 314.0
9236.0 | 1 | None | None | HCF000000315 | 315.0
9697.0 | 1 | None | None | HCF000000316 | 316.0
10913.0 | 1 | None | None | HCF000000317 | 317.0
10923.0 | 1 | None | None | HCF000000318 | 318.0
11224.0 | 1 | None | None | HCF000000319 | 319.0
12698.0 | 1 | None | None | HCF000000320 | 320.0
13098.0 | 1 | None | None | HCF000000321 | 321.0
14589.0 | 1 | None | None | HCF000000322 | 322.0
11820.0 | 1 | None | None | HCF000000323 | 323.0
13603.0 | 1 | None | None | HCF000000324 | 324.0
16414.0 | 1 | None | None | HCF000000325 | 325.0
14616.0 | 1 | None | None | HCF000000326 | 326.0
19230.0 | 1 | None | None | HCF000000327 | 327.0
18841.0 | 1 | None | None | HCF000000328 | 328.0
13263.0 | 1 | None | None | HCF000000329 | 329.0
13676.0 | 1 | None | None | HCF000000330 | 330.0
15251.0 | 1 | None | None | HCF000000331 | 331.0
15778.0 | 1 | None | None | HCF000000332 | 332.0
15853.0 | 1 | None | None | HCF000000333 | 333.0
17998.0 | 1 | None | None | HCF000000334 | 334.0
18361.0 | 1 | None | None | HCF000000335 | 335.0
18386.0 | 1 | None | None | HCF000000336 | 336.0
375.0 | 1 | None | None | HCF000000337 | 337.0
551.0 | 1 | None | None | HCF000000338 | 338.0
573.0 | 1 | None | None | HCF000000339 | 339.0
1411.0 | 1 | None | None | HCF000000340 | 340.0
2247.0 | 1 | None | None | HCF000000341 | 341.0
4253.0 | 1 | None | None | HCF000000342 | 342.0
5900.0 | 1 | None | None | HCF000000343 | 343.0
5970.0 | 1 | None | None | HCF000000344 | 344.0
6226.0 | 1 | None | None | HCF000000345 | 345.0
6439.0 | 1 | None | None | HCF000000346 | 346.0
7409.0 | 1 | None | None | HCF000000347 | 347.0
8212.0 | 1 | None | None | HCF000000348 | 348.0
8402.0 | 1 | None | None | HCF000000349 | 349.0
9340.0 | 1 | None | None | HCF000000350 | 350.0
9989.0 | 1 | None | None | HCF000000351 | 351.0
9741.0 | 1 | None | None | HCF000000352 | 352.0
12909.0 | 1 | None | None | HCF000000353 | 353.0
11236.0 | 1 | None | None | HCF000000354 | 354.0
17387.0 | 1 | None | None | HCF000000355 | 355.0
19330.0 | 1 | None | None | HCF000000356 | 356.0
17954.0 | 1 | None | None | HCF000000357 | 357.0
17955.0 | 1 | None | None | HCF000000358 | 358.0
17942.0 | 1 | None | None | HCF000000359 | 359.0
17956.0 | 1 | None | None | HCF000000360 | 360.0
17951.0 | 1 | None | None | HCF000000361 | 361.0
