codigo,cidade_fb,estado_fb,uf_resolvida,cidade_slug
359,Guaraqueçaba,PR,PR,guaraquecaba
360,Aquidauana,MS,MS,aquidauana
361,Mocambinho,BA,BA,mocambinho
362,Curitiba,PR,PR,curitiba
363,Macaúbas,BA,BA,macaubas
364,Frutal,MG,MG,frutal
365,Campina Grande do Sul,PR,PR,campina grande do sul
366,São Joaquim,SC,SC,sao joaquim
367,Fênix,PR,PR,fenix
368,Palotina,PR,PR,palotina
369,Tunas do Paraná,PR,PR,tunas do parana
370,Campo Magro,PR,PR,campo magro
371,Quatro Barras,PR,PR,quatro barras
372,Jundiaí do Sul,PR,PR,jundiai do sul
373,Balsa Nova,PR,PR,balsa nova
374,Curitiba,PR,PR,curitiba
375,Bonito,MS,MS,bonito
376,Janaúba,MG,MG,janauba
377,Itaperuçu,PR,PR,itaperucu
378,Campo Largo,PR,PR,campo largo
379,Adrianópolis,PR,PR,adrianopolis
380,Campina Grande do Sul,PR,PR,campina grande do sul
381,Tanque Novo,BA,BA,tanque novo
382,Palmeira,PR,PR,palmeira
383,Urandi,BA,BA,urandi
384,Catalão,GO,GO,catalao
385,Macaúbas,BA,BA,macaubas
386,Palmeira,PR,PR,palmeira
387,João Pinheiro,MG,MG,joao pinheiro
388,Laguna,SC,SC,laguna
389,Paranaguá,PR,PR,paranagua
390,Bocaiúva do Sul,PR,PR,bocaiuva do sul
391,Doutor Ulysses,PR,PR,doutor ulysses
392,Curitiba,PR,PR,curitiba
393,Antonina,PR,PR,antonina
394,Joaquim Felício,MG,MG,joaquim felicio
395,Bonito,MS,MS,bonito
396,Guaratuba,PR,PR,guaratuba
397,Guaratuba,PR,PR,guaratuba
398,Tijucas do Sul,PR,PR,tijucas do sul
399,Garuva,SC,SC,garuva
400,Garuva,SC,SC,garuva
401,Piraquara,PR,PR,piraquara
402,Garuva,SC,SC,garuva
403,Palmas,PR,PR,palmas
404,Urubici,SC,SC,urubici
405,Pericó,SC,SC,perico
406,Apiúna,SC,SC,apiuna
407,Garuva,SC,SC,garuva
408,Doutor Ulysses,PR,PR,doutor ulysses
409,Colombo,PR,PR,colombo
410,São Mateus do Sul,PR,PR,sao mateus do sul
411,Grão Pará,SC,SC,grao para
412,Ponta Grossa,PR,PR,ponta grossa
413,Aquidauana,MS,MS,aquidauana
414,Pontal do Paraná,PR,PR,pontal do parana
415,Guaraqueçaba,PR,PR,guaraquecaba
416,Bocaiúva do Sul,PR,PR,bocaiuva do sul
417,Conde,BA,BA,conde
418,Niquelândia,GO,GO,niquelandia
419,São José dos Pinhais,PR,PR,sao jose dos pinhais
420,Bocaiúva do Sul,PR,PR,bocaiuva do sul
421,São Joaquim,SC,SC,sao joaquim
422,Laguna,SC,SC,laguna
423,Una,BA,BA,una
424,Araruna,PR,PR,araruna
425,Campo Mourão,PR,PR,campo mourao
426,Imbituba,SC,SC,imbituba
427,Guaraí,TO,TO,guarai
428,Campo Mourão,PR,PR,campo mourao
429,Inácio Martins,PR,PR,inacio martins
430,Barbosa Ferraz,PR,PR,barbosa ferraz
431,Campo Mourão,PR,PR,campo mourao
432,Santo Antônio do Caiuá,PR,PR,santo antonio do caiua
433,Campo Mourão,PR,PR,campo mourao
434,Campo Mourão,PR,PR,campo mourao
435,Piraquara,PR,PR,piraquara
436,Vila Propício,GO,GO,vila propicio
437,Balsa Nova,PR,PR,balsa nova
438,Piraquara,PR,PR,piraquara
439,Colombo,PR,PR,colombo
440,Brasília,DF,DF,brasilia
441,Brasília,DF,DF,brasilia
442,Cavalcante,GO,GO,cavalcante
443,Cavalcante,GO,GO,cavalcante
444,Curitiba,PR,PR,curitiba
445,Cocalzinho,GO,GO,cocalzinho
446,Antonina,PR,PR,antonina
447,Mamborê,PR,PR,mambore
448,Rosário do Ivaí,PR,PR,rosario do ivai
449,Jaguariaíva,PR,PR,jaguariaiva
450,Campo Mourão,PR,PR,campo mourao
451,Ventania,PR,PR,ventania
452,Cascavel,PR,PR,cascavel
453,Roncador,PR,PR,roncador
454,Marília,SP,SP,marilia
455,Campo Mourão,PR,PR,campo mourao
482,Coronel Vivida,PR,PR,coronel vivida
457,Porto Amazonas,PR,PR,porto amazonas
458,Itajai,SC,SC,itajai
459,Campo Alegre,SC,SC,campo alegre
460,Mamborê,PR,PR,mambore
461,Campo Mourão,PR,PR,campo mourao
462,Ponta Grossa,PR,PR,ponta grossa
463,Boa Esperança,MG,MG,boa esperanca
464,Ventania,PR,PR,ventania
465,Antônio João,MS,MS,antonio joao
466,Campo Mourão,PR,PR,campo mourao
467,Campo Mourão,PR,PR,campo mourao
468,Colinas do Sul,GO,GO,colinas do sul
469,Porto Murtinho,MS,MS,porto murtinho
470,Quinta do Sol,PR,PR,quinta do sol
471,Brasília,DF,DF,brasilia
472,Ilha Carióca,PR,PR,ilha carioca
473,Ilha Grande,MS,MS,ilha grande
474,Porto Figueira,PR,PR,porto figueira
475,Sapucaia,PA,PA,sapucaia
476,Peabiru,PR,PR,peabiru
477,Moreira Sales,PR,PR,moreira sales
478,Palmeira,PR,PR,palmeira
479,Curitiba,PR,PR,curitiba
483,Prudentópolis,PR,PR,prudentopolis
480,Pirenópolis,GO,GO,pirenopolis
484,Atibaia,SP,SP,atibaia
485,Araruna,PR,PR,araruna
486,Engenheiro Beltrão,PR,PR,engenheiro beltrao
487,Jaguariaíva,PR,PR,jaguariaiva
488,Jaguariaíva,PR,PR,jaguariaiva
489,Paranaguá,PR,PR,paranagua
490,Vila Propício,GO,GO,vila propicio
491,Cianorte,PR,PR,cianorte
492,Cianorte,PR,PR,cianorte
493,Iretama,PR,PR,iretama
494,Alto Paraíso de Goiás,GO,GO,alto paraiso de goias
495,Correntina,BA,BA,correntina
496,Luiziana,PR,PR,luiziana
497,Mandaguari,PR,PR,mandaguari
498,Roncador,PR,PR,roncador
499,Porto Barreiro,PR,PR,porto barreiro
500,Santa Izabel do Oeste,PR,PR,santa izabel do oeste
501,Boa Esperança,PR,PR,boa esperanca
502,Campo Mourão,PR,PR,campo mourao
503,Moreira Sales,PR,PR,moreira sales
504,Flórida,PR,PR,florida
505,Guaraniaçú,PR,PR,guaraniacu
506,São Mateus do Sul,PR,PR,sao mateus do sul
507,Antonina,PR,PR,antonina
508,Porto Murtinho,MS,MS,porto murtinho
509,Antonina,PR,PR,antonina
510,São Bento do Sul,SC,SC,sao bento do sul
511,Guaratuba,PR,PR,guaratuba
512,Curitiba,PR,PR,curitiba
513,Morretes,PR,PR,morretes
514,Curitiba,PR,PR,curitiba
515,Macaúbas,BA,BA,macaubas
516,São José dos Ausentes,RS,RS,sao jose dos ausentes
517,Urubici,SC,SC,urubici
518,Mamborê,PR,PR,mambore
519,Itapemirim,ES,ES,itapemirim
520,Rio Verde,MS,MS,rio verde
521,Antônio João,MS,MS,antonio joao
522,Campo Largo,PR,PR,campo largo
523,Palmeira,PR,PR,palmeira
524,Timbé do Sul,SC,SC,timbe do sul
525,Colônia San Lázaro,,,colonia san lazaro
526,Itaperuçu,PR,PR,itaperucu
527,Bonito,MS,MS,bonito
528,Morretes,PR,PR,morretes
529,Alto Paraíso de Goiás,GO,GO,alto paraiso de goias
530,Ponta Porã,MS,MS,ponta pora
531,Laguna,SC,SC,laguna
532,Bela Vista,MS,MS,bela vista
533,Urubici,SC,SC,urubici
534,Bodoquena,MS,MS,bodoquena
535,Morretes,PR,PR,morretes
536,Balsa Nova,PR,PR,balsa nova
537,Porto Murtinho,MS,MS,porto murtinho
538,Guaraqueçaba,PR,PR,guaraquecaba
539,Teixeira Soares,PR,PR,teixeira soares
540,Nova Tebas,PR,PR,nova tebas
541,Bonito,MS,MS,bonito
542,Campo Mourão,PR,PR,campo mourao
543,Colinas do Sul,GO,GO,colinas do sul
544,Mamborê,PR,PR,mambore
545,Itajaí,SC,SC,itajai
546,São Pedro do Ivaí,PR,PR,sao pedro do ivai
547,Paranaguá,PR,PR,paranagua
548,Almas,TO,TO,almas
