id,cidade_fb,uf_resolvida
556,Boa Esperança,MG
557,Cavalcante,GO
558,Vila Propício,GO
559,Grão Mogol,MG
560,Araruna,PR
561,Corumbá,MS
562,Corumbá,MS
563,Corumbá,MS
564,Corumbá,MS
565,Corumbá,MS
566,Pirenópolis,GO
567,Goioerê,PR
568,Cerro Azul,PR
569,Araruna,PR
570,Quatro Barras,PR
571,Cerro Azul,PR
572,Arapoti,PR
573,Santo Antônio do Sudoeste,PR
574,Rio Branco do Sul,PR
575,Araquari,SC
576,Janiópolis,PR
577,Formoso,MG
578,Miranda,MS
579,Miranda,MS
580,Miranda,MS
581,Miranda,MS
582,Campo Mourão,PR
584,Colinas do Sul,GO
585,São José dos Pinhais,PR
586,Bela Vista,MS
587,Cavalcante,GO
588,Alto Paraíso de Goiás,GO
589,Juranda,PR
590,Engenheiro Beltrão,PR
591,Bataguaçu,MS
592,Cuiabá,MT
593,Várzea Grande,MT
594,Cuiabá,MT
595,Cuiabá,MT
596,Poconé,MT
597,Brasilândia,MS
598,Novo Eldorado,MT
599,Anaurilândia,MS
600,São Félix do Araguaia,MT
601,SESC Pantanal,MT
602,Barão de Melgaço,MT
603,Barão de Melgaço,MT
604,Barão de Melgaço,MT
605,Vila Bela da Santíssima Trindade,MT
606,Acorizal,MT
607,Poconé,MT
608,Rosário Oeste,MT
609,Rosário Oeste,MT
610,Barão de Melgaço,MT
611,Bataguaçu,MS
612,Nova Brasilândia,MT
613,Campo Verde,MT
614,Barão de Melgaço,MT
615,estrada da Cascata-Água Boa.,MT
616,Barão de Melgaço,MT
617,Chapada dos Guimarães,MT
618,Nobres,MT
619,Bataguaçu,MS
620,Apiácas,MT
621,Chapada dos Guimarães,MT
622,Campo Mourão,PR
623,Janiópolis,PR
624,Goioerê,PR
625,Lapa,PR
626,Janiópolis,PR
627,Campo Mourão,PR
628,Curitiba,PR
629,Grão Mogol,MG
630,Campo Mourão,PR
631,Porto Figueira,PR
632,Aquidauana,MS
633,Palmas,PR
634,Flores,GO
635,Flores,GO
636,Umuarama,PR
637,Campo Mourão,PR
638,Ubiratã,PR
639,Florianópolis,SC
640,Foz do Iguaçu,PR
641,Pitanga,PR
642,Pitanga,PR
643,Moreira Sales,PR
644,Mamborê,PR
645,Pitanga,PR
646,Morretes,PR
647,Ponta Grossa,PR
648,Caetité,BA
649,Capitão Leônidas Marques,PR
650,Curitiba,PR
651,Tijucas do Sul,PR
652,Camaçari,BA
653,Campo Mourão,PR
654,Campina Grande do Sul,PR
655,Morretes,PR
656,Bocaiúva do Sul,PR
657,Santa Luzia,BA
658,Pitanga,PR
659,Porto Barreiro,PR
660,Iretama,PR
661,Carmo do Rio Claro,MG
662,Carmo do Rio Claro,MG
663,Carmo do Rio Claro,MG
664,Carmo do Rio Claro,MG
665,Ponta Grossa,PR
666,Ponta Grossa,PR
667,Arapoti,PR
668,Dois Vizinhos,PR
669,Ubiratã,PR
670,Nerópolis,GO
671,Luiziana,PR
672,Medianeira,PR
673,Ubiratã,PR
674,Campo Mourão,PR
675,Campo Mourão,PR
676,Pontal do Paraná,PR
677,Flores,GO
678,Almas,TO
679,Macaúbas,BA
680,Matinhos,PR
681,Campina Grande do Sul,PR
